experiment_id,iteration,generation,total_population_episodes,score,learning_rate,batch_size,gamma,epsilon,wall_time,episodes_to_solve
PB2_LUNARLANDER_4,2,17,2720,139.161121166391,0.00010000790164224,1024,0.998999836602365,0.327387977885272,933.180663108826,
PB2_LUNARLANDER_4,2,18,2880,204.225694014177,0.00736703064053794,816,0.981032042146808,0.459887026300145,988.44938826561,2880
PB2_LUNARLANDER_4,3,1,160,-94.6344553993472,0.0078734519439722,548,0.949078925858433,0.153240743141887,16.5977792739868,
PB2_LUNARLANDER_4,3,2,320,-73.1159872876419,0.00180078856462103,514,0.930072302790195,0.559667897643024,52.4089670181274,
PB2_LUNARLANDER_4,3,3,480,16.2723441069998,0.00446314605601676,972,0.810828776455299,0.274117048025221,90.1386332511902,
PB2_LUNARLANDER_4,3,4,640,13.9915582367591,0.00446314605601676,972,0.810828776455299,0.274117048025221,149.11132645607,
PB2_LUNARLANDER_4,3,5,800,68.49475317122,0.0001,1024,0.999,0.01,213.450518846512,
PB2_LUNARLANDER_4,3,6,960,211.394739157303,0.01,1024,0.999,0.01,319.816205739975,960
PB2_LUNARLANDER_4,4,1,160,-131.269124561356,0.00276063071767531,45,0.830431557285497,0.0763836433487823,12.4584052562714,
PB2_LUNARLANDER_4,4,2,320,-29.2121943082062,0.00276063071767531,45,0.830431557285497,0.0763836433487823,63.7885012626648,
PB2_LUNARLANDER_4,4,3,480,-16.2426057380522,0.0001,1024,0.8,0.01,117.514269828796,
PB2_LUNARLANDER_4,4,4,640,5.24989922231044,0.0001,1024,0.8,0.01,170.170927286148,
PB2_LUNARLANDER_4,4,5,800,-64.9675410621153,0.0001,1024,0.8,0.01,234.957195997238,
PB2_LUNARLANDER_4,4,6,960,42.2933412748448,0.0001,1024,0.8,0.01,331.704886436462,
PB2_LUNARLANDER_4,4,7,1120,109.367066209749,0.0001,1024,0.999,0.01,420.812338352203,
PB2_LUNARLANDER_4,4,8,1280,41.6958738752245,0.0001,1024,0.8,0.01,516.942698478699,
PB2_LUNARLANDER_4,4,9,1440,139.085612536536,0.0001,1024,0.999,0.0100000055050881,633.583777904511,
PB2_LUNARLANDER_4,4,10,1600,240.066499513726,0.0091607989550575,1024,0.995267252552034,0.0208806775062604,706.650004863739,1600
PB2_LUNARLANDER_4,5,1,160,-132.468094705375,0.0024819676364376,527,0.949288791180866,0.530727321667734,15.6471440792084,
PB2_LUNARLANDER_4,5,2,320,16.9425730213813,0.0024819676364376,527,0.949288791180866,0.530727321667734,55.5568628311157,
PB2_LUNARLANDER_4,5,3,480,-5.82711653975413,0.0001,16,0.8,0.01,124.244732141495,
PB2_LUNARLANDER_4,5,4,640,127.050101880184,0.0001,16,0.800000004279677,0.01,198.473698616028,
PB2_LUNARLANDER_4,5,5,800,40.923675101569,0.0001,368,0.812991041507644,0.0184511039043488,262.886178731918,
PB2_LUNARLANDER_4,5,6,960,-7.74552624946298,0.0001,16,0.800000004279677,0.01,301.104632139206,
PB2_LUNARLANDER_4,5,7,1120,144.740136718976,0.0001,16,0.999,0.01,349.799767494202,
PB2_LUNARLANDER_4,5,8,1280,-22.9734852309676,0.01,1024,0.8,0.01,420.24903178215,
PB2_LUNARLANDER_4,5,9,1440,133.73079896273,0.0001,16,0.999,0.01,494.69048500061,
PB2_LUNARLANDER_4,5,10,1600,117.082813741465,0.00634043878545054,16,0.999,0.01,570.860912322998,
PB2_LUNARLANDER_4,5,11,1760,204.385670458041,0.01,1024,0.999,0.01,631.062356472015,1760
PB2_LUNARLANDER_4,6,1,160,-105.350284518382,0.00374250279866875,893,0.900989458584985,0.705827091425507,14.4619135856628,
PB2_LUNARLANDER_4,6,2,320,-79.7652295385239,0.00377976374515858,427,0.978203279407254,0.97827667989886,31.4446830749512,
PB2_LUNARLANDER_4,6,3,480,-69.8086174474547,0.01,1024,0.8,0.01,80.8825175762177,
