experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A3,7,3,480,-89.31596441,0.00666,247,0.898,0.5346,,
A3,7,4,640,80.8356497422804,0.0089,881,0.985,0.1101,,
A3,7,5,800,59.2797701046364,0.0089,881,0.985,0.1101,,
A3,7,6,960,95.3344393912958,0.00378,660,0.978,0.0663,,
A3,7,7,1120,79.4989394710369,0.00639,944,0.984,0.642,,
A3,7,8,1280,83.4580269182708,0.00039,874,0.989,0.0716,,
A3,7,9,1440,121.191917519123,0.00555,979,0.962,0.2177,,
A3,7,10,1600,96.5736061130337,0.00582,965,0.93,0.8331,,
A3,7,11,1760,122.060910557856,0.00547,909,0.996,0.9469,,
A3,7,12,1920,96.1949237277353,0.00992,486,0.973,0.8201,,
A3,7,13,2080,130.915945116409,0.0087,318,0.989,0.1257,,
A3,7,14,2240,54.0155407174446,0.00273,848,0.987,0.8343,,
A3,7,15,2400,130.461712466643,0.00935,873,0.983,0.9517,,
A3,7,16,2560,34.2205129609306,0.0082,950,0.953,0.9996,,
A3,7,17,2720,177.620408158641,0.0082,950,0.953,0.9996,,
A3,7,18,2880,95.0568058833869,0.00873,93,0.996,0.0355,,
A3,7,19,3040,117.02654196323,0.00873,93,0.996,0.0355,,
A3,7,20,3200,196.804467346058,0.00988,121,0.981,0.0233,,
A3,7,21,3360,41.1103984265797,0.00854,976,0.976,0.6932,,
A3,7,22,3520,129.805874577937,0.00854,976,0.976,0.6932,,
A3,7,23,3680,109.121220160547,0.00954,892,0.928,0.9915,,
A3,7,24,3840,99.8786803515184,0.00908,881,0.996,0.0375,,
A3,7,25,4000,86.5730106,0.002,1009,0.967,0.9993,,
A3,7,26,4160,130.468566844516,0.00014,1002,0.999,0.995,,
A3,7,27,4320,237.536315347694,0.00626,1005,0.982,0.1046,,
A3,7,,,,,,,,4320,4386
A1,8,1,160,-171.5847721,0.00266,506,0.904,0.0875,,
A1,8,2,320,18.1709242126163,0.00841,526,0.864,0.2468,,
A1,8,3,480,66.2900945598717,0.00063,507,0.871,0.562,,
A1,8,4,640,26.3886055664916,0.0027,453,0.996,0.0815,,
A1,8,5,800,184.843867765078,0.0027,453,0.996,0.0815,,
A1,8,6,960,113.0732807199,0.0027,453,0.996,0.0815,,
A1,8,7,1120,73.3238472819012,0.00708,894,0.969,0.8816,,
A1,8,8,1280,104.050995107959,0.00708,894,0.969,0.8816,,
A1,8,9,1440,229.721222166481,0.00392,930,0.988,0.349,,
A1,8,,,,,,,,1440,1881
A2,9,1,160,-122.0435416,0.00317,340,0.844,0.3858,,
A2,9,2,320,-57.24123735,0.00317,340,0.844,0.3858,,
A2,9,3,480,-34.28972799,0.00317,340,0.844,0.3858,,
A2,9,4,640,5.53328944507203,0.0084,930,0.883,0.3901,,
A2,9,5,800,22.8996361251387,0.00013,50,0.952,0.8849,,
A2,9,6,960,75.9874136165526,0.00013,50,0.952,0.8849,,
A2,9,7,1120,95.4723903167505,0.00063,36,0.942,0.9464,,
A2,9,8,1280,93.375316952197,0.00539,695,0.996,0.9681,,
A2,9,9,1440,135.587288973076,0.00539,695,0.996,0.9681,,
A2,9,10,1600,74.9381038781452,0.00042,892,0.965,0.8237,,
A2,9,11,1760,250.135691169954,0.00762,599,0.982,0.1517,,
A2,9,,,,,,,,1760,1686
A3,8,1,160,99.8106081697877,0.00748,600,0.854,0.3539,,
A3,8,2,320,-83.69712601,0.00748,600,0.854,0.3539,,
A3,8,3,480,-46.44636437,0.00703,380,0.983,0.0541,,
A3,8,4,640,66.4094051228612,0.00804,992,0.987,0.1623,,
A3,8,5,800,149.112250670811,0.00804,992,0.987,0.1623,,
A3,8,6,960,93.8098431398647,0.00804,992,0.987,0.1623,,
A3,8,7,1120,254.4626197,0.00703,380,0.983,0.0541,,
A3,8,,,,,,,,1120,1971
A2,10,1,160,-109.6101964,0.00636,964,0.839,0.631,,
A2,10,2,320,40.6613591971438,0.0069,940,0.969,0.2749,,
A2,10,3,480,34.4005925055701,0.0069,940,0.969,0.2749,,
A2,10,4,640,72.6544256572928,0.00374,316,0.997,0.402,,
A2,10,5,800,234.325895077371,0.00859,891,0.999,0.3918,,
A2,10,,,,,,,,800,1127
A3,9,1,160,-120.8292243,0.0026,106,0.83,0.9148,,
A3,9,2,320,-86.71224198,0.00979,818,0.915,0.277,,
A3,9,3,480,-15.62484192,0.00704,857,0.921,0.9472,,
A3,9,4,640,-74.15404263,0.00238,773,0.803,0.3671,,
A3,9,5,800,-7.964088649,0.00389,914,0.817,0.4602,,
A3,9,6,960,-48.63863652,0.00981,643,0.981,0.679,,
A3,9,7,1120,-53.34590502,0.00427,841,0.991,0.6715,,
A3,9,8,1280,-14.36629669,0.00617,930,0.992,0.1919,,
A3,9,9,1440,164.659771216766,0.00076,553,0.984,0.9645,,
A3,9,10,1600,213.340571960427,0.00617,930,0.992,0.1919,,
A3,9,,,,,,,,1600,1942
A1,9,1,160,-76.65978348,0.00565,357,0.932,0.5228,,
A1,9,2,320,45.1256181741125,0.00495,730,0.996,0.8897,,
A1,9,3,480,-31.44301624,0.00838,1023,0.997,0.824,,
A1,9,4,640,-9.231051804,0.004,163,0.996,0.9777,,
A1,9,5,800,-20.5594165,0.00072,952,0.928,0.9855,,
A1,9,6,960,91.01532636,0.00979,683,0.801,0.1293,,
A1,9,7,1120,185.294905554528,0.00992,452,0.996,0.7754,,
A1,9,8,1280,12.6116002799095,0.00588,268,0.972,0.9853,,
A1,9,9,1440,21.4279906938574,0.00979,683,0.801,0.1293,,
A1,9,10,1600,20.0106018390948,0.00525,579,0.992,0.3939,,
A1,9,11,1760,157.356284383118,0.00031,813,0.995,0.2939,,
A1,9,12,1920,154.499641644785,0.00153,324,0.999,0.0675,,
A1,9,13,2080,156.756466397551,0.00178,510,0.956,0.9925,,
A1,9,14,2240,189.636050855473,0.00735,951,0.967,0.0585,,
A1,9,15,2400,222.474943075575,0.00052,174,0.997,0.8241,,
A1,9,,,,,,,,2400,3203
A2,11,1,160,-79.83629609,0.00454,248,0.883,0.0948,,
A2,11,2,320,-45.32087583,0.0014,215,0.965,0.2275,,
A2,11,3,480,-61.85700983,0.00864,938,0.972,0.1747,,
A2,11,4,640,38.9158317677863,0.00864,938,0.972,0.1747,,
A2,11,5,800,186.210626458722,0.00147,964,0.975,0.2208,,
A2,11,6,960,192.88535838141,0.00127,318,0.999,0.4058,,
A2,11,7,1120,232.624006556648,0.00011,16,0.997,0.6947,,
A2,11,,,,,,,,1120,2013
A3,10,1,160,-90.27971265,0.00593,1023,0.972,0.705,,
A3,10,2,320,-16.90280003,0.00105,420,0.971,0.1526,,
A3,10,3,480,108.938240526214,0.00105,420,0.971,0.1526,,
A3,10,4,640,150.976149546963,0.00568,114,0.968,0.2467,,
A3,10,5,800,159.409671261562,0.00925,281,0.994,0.2112,,
A3,10,6,960,245.580303743794,0.00722,80,0.988,0.4545,,
A3,10,,,,,,,,960,1562
A2,12,1,160,-105.78611,0.00444,124,0.902,0.469,,
A2,12,2,320,-38.44273887,0.00563,322,0.84,0.1755,,
A2,12,3,480,-18.47208189,0.0093,606,0.992,0.2389,,
A2,12,4,640,237.003765680856,0.00756,927,0.975,0.3518,,
A2,12,,,,,,,,640,1003
A1,10,1,160,-4.029438729,0.00015,965,0.891,0.2519,,
A1,10,2,320,-119.5138038,0.00101,63,0.902,0.2403,,
A1,10,3,480,-9.626150939,0.00531,798,0.994,0.0676,,
A1,10,4,640,192.524259315599,0.00694,978,0.981,0.221,,
A1,10,5,800,102.417780072675,0.00531,798,0.994,0.0676,,
